Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
Bounty Hunter,Bord,1985,Bord,,Bounty Hunter (Gottlieb 1985) - VPX - Pinball Tables,kTyP2pr9,16/09/2023,Colvert,Full,,,,Bounty Hunter (Gottlieb 1985) Instruction Cards - Instruction Cards - Virtual Pinball Universe,1985 Premier/Gottlieb Bounty Hunter Pinball Gameplay / Tutorial
Bram Stoker Dracula,Williams,1993,VPW,,Bram Stoker's Dracula (Williams 1993) VPW - VPX - Pinball Tables,ZSnK0UJRm6,20/10/2024,Jutsuka,Full,,,21/10/2024,Pinball Archive Rule Sheet: Bram Stoker's Dracula,"How to Play Bram Stoker's Dracula Pinball Machine | Rules, Tutorial & Strategy | Kineticist"
Breakshot,Capcom,1996,VPW,,Breakshot (Capcom 1996) - VPX - Pinball Tables,5QKRlioCxO,30/06/2024,den_laef,Full,,,22/07/2024,"Breakshot Rulesheet Version 1.0, by FSPA",Breakshot Pinball - Full Tutorial and Playthrough
Buck Rogers,Gottlieb,1980,UnclePaulie,,Buck Rogers (Gottlieb 1980) - VPX - Pinball Tables,kwrsDl4fV-,01/02/2026,Colvert,Full,,,,"Buck Rogers (Gottlieb, 1980)",Buck Rogers Tutorial and Playthrough  on Legends Pinball
Cactus Canyon ,Bally,1998,VPW,,Cactus Canyon (& Continued) (Bally 1998) VPW Mod - VPX - Pinball Tables,Z7qrllPW,28/06/2023,PinStratsDan,Full,,,11/03/2024,Cactus Canyon - Rule Sheet - Pinball - By Llamaman2 - GameFAQs,Cactus Canyon (Bally 1998) - VPX Video Instruction
Cactus Jack's ,Gottlieb,1991,UnclePaulie,,Cactus Jacks (Gottlieb 1991) w VR Room - VPX - Pinball Tables,d53_5NH4ne,28/06/2023,PinStratsDan,Full,,,,https://imgproxy.pinside.com/1knbmEso6MHBC2YydF6vevvzvzLlxrvhYArfqhlm2io/rs:fit:2048/fn:pinside_archive_73_c1ab0fe76944/enc/A6WY1dCJkldLT1mozhd1OixmrkfeQ85L-pFJm2k3xi1TAIHcb_k5I0sLFABoxgwVtqTkQ2qM14jUBwpBvjwAecP66HpjL1zu9ONENC2H-bjHDgFwyKU1l6ArXAdpH7vF.jpg,
Canasta 86 ,Inder,1986,Nestorgian,,Canasta 86 (Inder 1986) PhysicsMOD - Modified (MOD) Games - Virtual Pinball Universe,XQz9GBap2o,28/06/2023,PinStratsDan,Full,,,,,
Captain Fantastic & The Brown Dirt Cowboy,Bally,1976,leojreimroc,,Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976) - VPX - Pinball Tables,P8P0G7DMfT,12/09/2023,Studlygoorite,Full,,,,"Capt. Fantastic Rulesheet Version 1.0 (Aug/14/1997), by Scott R. Tiesma",
Catacomb,Stern,1981,UnclePaulie,,Catacomb (Stern 1981) - VPX - Pinball Tables,CC1fsHkERI,13/02/2026,Dstructv,Full,,,09/02/2026,Stern Catacomb Rules and Gameplay,Catacomb (1981) Pinball Machine by Stern Electronics | IPDB Alternative
Centaur ,Bally,1981,UnclePaulie,,Centaur (Bally 1981) - VPX - Pinball Tables - Virtual Pinball Universe,tYnMYcfp0I,28/06/2023,Lminimart,Full,Rollover 10 M,,28/04/2025,centaur,Centaur Pinball | Tutorial (english)
